depth,n_train,kernel,best_C,cv_mean,cv_std,test_acc,wall_s
1,20,Q,1.0,0.8,0.2449489742783178,0.65,2.4546825885772705
2,20,Q,0.1,0.8,0.2449489742783178,0.8,3.513158082962036
3,20,Q,10.0,0.75,0.15811388300841897,0.65,4.655676364898682
0,20,RBF,0.1,1.0,0.0,1.0,0.02213263511657715
1,40,Q,1.0,0.9,0.049999999999999996,0.95,6.529358386993408
2,40,Q,0.1,0.7,0.12747548783981963,0.7,9.418684959411621
3,40,Q,1.0,0.825,0.1274754878398196,0.7,12.316580295562744
0,40,RBF,0.1,1.0,0.0,1.0,0.022556543350219727
1,80,Q,0.1,0.95,0.024999999999999998,0.95,19.66576385498047
2,80,Q,0.1,0.7875,0.10897247358851683,0.8,28.001768827438354
3,80,Q,0.1,0.6625,0.1015504800579495,0.5,37.42227029800415
0,80,RBF,0.1,1.0,0.0,1.0,0.022194623947143555
